baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
213.1360433,-0.060136155,0.049761343,-1.208491405,0.2268583,0.999962279,SLC25A13
95.60542495,-0.034100691,0.063115341,-0.540291639,0.588995923,0.999962279,ST7
857.1267283,0.039600443,0.041226598,0.960555676,0.336775624,0.999962279,CDC27
11.46679465,0.613344783,0.403636087,1.519548928,0.128624382,0.999962279,SLC4A1
0.287480402,0.371269301,0.778215521,0.477077739,0.633306766,0.999962279,CALCR
220.4076707,-0.018149859,0.046317614,-0.391856512,0.695164237,0.999962279,HCCS
442.869266,0.018675007,0.042438276,0.440051018,0.659900157,0.999962279,DVL2
3.853398349,0.243830722,0.282138346,0.864223973,0.387464865,0.999962279,PRSS22
4175.090556,0.015793817,0.069144821,0.228416477,0.819322481,0.999962279,UPF1
3113.273474,0.133951638,0.100728964,1.329822454,0.183576776,0.999962279,SKAP2
1577.586539,-0.067824759,0.050240465,-1.350002612,0.177015145,0.999962279,SLC25A5
722.9583557,-0.082892331,0.046699045,-1.775032672,0.075892493,0.999962279,MCUB
0.201312904,-0.353865275,1.569743346,-0.225428746,0.821645751,0.999962279,HOXA11
526.8083412,-0.034402503,0.063187188,-0.544453781,0.586129245,0.999962279,POLR2J
321.1228786,0.007587432,0.035028717,0.216606042,0.828515377,0.999962279,DHX33
27.82608074,-0.394141021,0.151840249,-2.595761161,0.009438165,0.999962279,MEOX1
5.643069375,0.254018443,0.298581546,0.850750646,0.394907883,0.999962279,THSD7A
570.5098429,-0.005724648,0.034284382,-0.166975385,0.867389417,0.999962279,LIG3
716.8369533,0.082730155,0.048605209,1.70208411,0.088739602,0.999962279,RPAP3
106.2825006,0.095685066,0.122267532,0.782587691,0.433869272,0.999962279,ACSM3
18.24303136,0.04414458,0.107818008,0.40943606,0.682219681,0.999962279,REXO5
315.5574885,-0.026227819,0.03314349,-0.791341511,0.428744731,0.999962279,CIAPIN1
981.0187349,0.098365401,0.063417162,1.551084865,0.120881348,0.999962279,SPPL2B
2761.324908,0.043840339,0.084039106,0.521665936,0.601902946,0.999962279,ATOSB
18.57574433,-0.116282983,0.133353072,-0.871993289,0.383212039,0.999962279,COPZ2
658.2918416,-0.153581375,0.132451307,-1.159530835,0.246239875,0.999962279,PRKAR2B
3427.583502,-0.062714484,0.060984255,-1.028371736,0.303774999,0.999962279,MSL3
7990.748284,0.057193824,0.073607108,0.777014967,0.43714994,0.999962279,CREBBP
1355.534219,0.035187216,0.109318436,0.321878147,0.747545009,0.999962279,TSPOAP1
184.4524563,0.132714861,0.251184202,0.528356717,0.597251773,0.999962279,MPO
0.051141636,-0.002069894,2.753671837,-0.000751685,0.999400242,0.999962279,PON1
223.4854464,0.04432849,0.050284676,0.881550674,0.378019839,0.999962279,GCFC2
