baseMean,log2FoldChange,lfcSE,pvalue,padj,gene
146.875059958551,0.284545029159239,0.0850341792150574,3.2130824585544e-05,0.144171009915336,CDC26
408.422301988631,0.261524899196072,0.0767026743700509,2.79318051217871e-05,0.144171009915336,IGBP1
24.3869301194527,-0.699748378974626,0.20563167401423,2.37888211052102e-05,0.144171009915336,MIR3181
1646.98712843633,-0.769060792859065,0.233004946448177,2.55159998368521e-05,0.144171009915336,MIR3648-1
1399.12617006476,-0.868858318147097,0.250980480237089,1.40871610559036e-05,0.144171009915336,MIR3648-2
344.299611195255,0.316041133831832,0.09043997559995,1.99087565717415e-05,0.144171009915336,PSMC6
410.785173818672,0.360961497555471,0.112405540363305,5.65163797824114e-05,0.19019174706276,SAMSN1
34.9527058012424,-0.0118343599054422,0.0296587825479183,5.40483393009373e-05,0.19019174706276,SIGLEC11
644.040218531303,0.23425571122666,0.078298801366206,0.000120167953487245,0.287330638089065,ANP32E
193.169876362501,0.305763284545779,0.102418768917571,0.000108109693836181,0.287330638089065,CWC15
388.177019523472,0.163437884615428,0.0550777859201506,0.000115039584251924,0.287330638089065,SLC46A3
7425.05428578287,-0.465553843094785,0.164730399543654,0.000128072493019418,0.287330638089065,MER45C:hAT-Tip100:DNA
6004.72860063035,0.122504824004643,0.0410871650939293,0.000155979917090663,0.299949380565344,HNRNPA2B1
150.711790853626,0.339997721257104,0.119147827994411,0.000152527494164329,0.299949380565344,MRPL51
624.37994244813,0.255693625493816,0.0910523345763753,0.000194129799796557,0.307433086477819,CBX3
221.792321357774,0.267423945482333,0.095801008892364,0.000193359720295278,0.307433086477819,POMP
170.633268316728,0.904003539946073,0.314714443972122,0.000181845444294908,0.307433086477819,RPH3A
23.9679777696542,-0.647164862092786,0.241483065838634,0.000216357159230712,0.320815864269196,FAM174B
1282.05504173364,0.232566176729976,0.0844340578455753,0.000233691305861028,0.320815864269196,LDHA
76.406589264846,-0.00930566430849796,0.0279801018934685,0.000250246383985333,0.320815864269196,LRRC32
1217.70993991301,-0.454906478000645,0.173662697277449,0.000250147202692652,0.320815864269196,MIR3687-2
75.9583412409193,-0.00972916526110337,0.0282139268882569,0.000298518918932477,0.365305742522734,P2RY12
790.135703532475,0.191203360589624,0.0724820355247357,0.000322211172220868,0.371213336403626,ATP13A3
1070.98690664693,-0.442348801034964,0.175063837843066,0.000330923411101962,0.371213336403626,MIR3687-1
3041.53816462654,0.209478381855796,0.0807367649316172,0.000374774189275642,0.403586828947154,NACA
654.700944444839,0.145337489813244,0.0553206689249605,0.000417953339282537,0.41288805886125,DAP3
240.427624329849,0.19774079612008,0.0787186516145084,0.000429420758046022,0.41288805886125,MRPS10
129.735047231848,0.242559074097285,0.0973420232639913,0.000401498635228246,0.41288805886125,TMEM242
66.2096065631856,-0.0111047726199879,0.0290635433041594,0.000467485702156744,0.433987933567719,LOC100288152
1320.16382650216,0.485933537257268,0.199431724094331,0.000511659636688504,0.459163357964263,CD52
262.859050655131,0.217061028195807,0.091006791966055,0.000588321724426329,0.494962420781426,POLR3GL
654.839763446958,0.149066864166237,0.0602875130614728,0.00058594852175718,0.494962420781426,PSMD7
344.527661100307,0.158008130438894,0.081696643648719,0.0016922851951502,0.512358942835579,ACTR10
41.7135012340458,-0.335187279862582,0.197625825605799,0.00191716440836527,0.512358942835579,ALOX12B
457.306871224735,0.206149553240208,0.115858195272963,0.0020705639533059,0.512358942835579,ATP5C1
498.158109458735,0.396768051458893,0.234218731853528,0.00209431291295256,0.512358942835579,ATP5E
281.785508669018,0.286336424031084,0.161286843728806,0.00199821782139515,0.512358942835579,ATP5O
33.3704306006312,-0.00914350421246473,0.0278513872033206,0.000995724755485829,0.512358942835579,AVPR1A
28.4412596248163,-0.00504076450187776,0.0261778406823952,0.00228879675211296,0.512358942835579,C15orf54
264.456977054462,0.140033582203326,0.0768582988776613,0.00217131537313598,0.512358942835579,CAMLG
94.7393037175721,0.314924664867741,0.157209123099871,0.00133317147562618,0.512358942835579,COMMD8
122.340710527499,0.409690328864183,0.23288054055928,0.00203233250417957,0.512358942835579,COX7B
7.88652480052644,-0.00678958382581392,0.0267705189550122,0.00100381720847195,0.512358942835579,CPLX3
1442.2845964913,0.158507717104284,0.0740649930687369,0.00122667022070606,0.512358942835579,DEK
26.9915703743016,-0.0087858229235294,0.0276522778169297,0.00147354852934295,0.512358942835579,DENND2C
18.8968825084343,-0.00593402619737151,0.0264490281253033,0.00233245328006868,0.512358942835579,DKFZP434L187
522.745680269,0.166217234873855,0.0929464993726824,0.00219318067560422,0.512358942835579,DNAJC8
228.668442299853,-0.373832828392237,0.224101943981776,0.00172586863135965,0.512358942835579,DNM3
844.539651226607,0.466217137836324,0.262790527951601,0.00215648887148806,0.512358942835579,EEF1B2
47.9952947371236,-0.0119909483079076,0.0296185316606936,0.00162421848225109,0.512358942835579,EGFL7
34.9055584689596,-0.0103732614512791,0.0285182817564575,0.00225909236431042,0.512358942835579,EGLN3
